epoch;acc;loss;val_acc;val_loss
0;0.8994535579056037;0.34497531772148415;0.6688889016707739;0.8872611502806346
1;0.9060109345639338;0.3258763709884198;0.6666666815678278;0.9839749192198117
2;0.9010929020701862;0.3266798958915179;0.6800000126163165;0.8625703702370325
3;0.9103825190028206;0.31812062651896084;0.6866666793823242;0.8912058204412461
4;0.9180327917708725;0.3075017635939551;0.6866666788856188;0.8603942881027857
5;0.9224043762097593;0.3021952621333423;0.6955555687348048;0.8591310560703278
6;0.9174863437160117;0.30046109675017535;0.6911111235618591;0.8654723842938741
7;0.919672135935455;0.2968225798523817;0.6911111235618591;0.8639257401227951
8;0.923497272319481;0.292779363539131;0.6933333456516266;0.8511246139804522
9;0.9300546489778112;0.28654944798985466;0.6911111245552699;0.8608722075819969
10;0.920218583990316;0.2906716588701381;0.708888899286588;0.859085310002168
11;0.9344262334166981;0.2734816345828967;0.7088889002799987;0.8527565836906433
12;0.9295082009229504;0.2734954901283882;0.6777777895331383;0.8587195162971815
13;0.9333333373069763;0.27145612832219873;0.6844444572925568;0.8442898814876875
14;0.9398907139653065;0.2676244382975531;0.6822222342093786;0.8693449482321739
15;0.9360655775812806;0.26244412811442475;0.6822222347060839;0.8779388646284739
16;0.9262295125937853;0.27284764113729115;0.7222222338120142;0.8012551541129748
17;0.9409836100750282;0.25567087011991957;0.7088889012734095;0.8062387446562449
18;0.9404371620201674;0.2565917024297304;0.7222222338120142;0.8384470010797183
19;0.9442622984041933;0.2514624154714287;0.6955555667479832;0.8272313679258029
20;0.9464480906236367;0.24681233901713714;0.7200000117222468;0.7968737254540126
21;0.9431694022944717;0.24974118710541335;0.7311111221710841;0.7931064640482267
22;0.9442622984041933;0.25083872553755027;0.7133333444595337;0.8476154235502084
23;0.945355194513915;0.23901524477195543;0.7377777884403864;0.7881799712777138
24;0.9464480906236367;0.2393073926023284;0.7244444559017817;0.7780889372030894
25;0.9459016425687758;0.2423735898537714;0.7266666769981385;0.8031212906042735
26;0.949180330897941;0.22825580459759862;0.72666667898496;0.8311829388141632
27;0.9540983633916886;0.22505975206245166;0.7266666779915492;0.7831085952619712
28;0.9546448114465494;0.22484663812840572;0.7133333444595337;0.8089955270290374
29;0.9535519153368278;0.22262091577419493;0.7244444559017817;0.7868335942427317
30;0.9551912595014103;0.21985152406526393;0.7133333444595337;0.7900949629644552
31;0.9524590192271061;0.21723854740257145;0.7355555653572082;0.792713281015555
32;0.9546448114465494;0.2153205788221027;0.7355555653572082;0.7945996217429638
33;0.9546448114465494;0.21156163382359217;0.7444444547096888;0.7795736732582251
34;0.9590163958854363;0.20965067709444976;0.7377777884403864;0.7602977253496647
35;0.9573770517208537;0.21134501524636004;0.7288889000813167;0.7668351732194424
36;0.9573770517208537;0.20598874610589177;0.7444444547096888;0.7797970041632653
37;0.9601092919951579;0.20699031712090382;0.7488888988892237;0.7544949375092983
38;0.9590163958854363;0.20311079946819877;0.7511111219724019;0.756412269671758
39;0.9606557400500189;0.20291532258518408;0.7177777896324794;0.8018567110101382
40;0.9622950842146014;0.20241345504878974;0.7422222346067429;0.8189891017973423
41;0.9628415322694622;0.19908947592265294;0.7444444566965103;0.7905352868139743
42;0.9622950842146014;0.19687598577288332;0.7533333430687587;0.7424682860573133
43;0.9573770517208537;0.19936448454734731;0.746666677792867;0.7424868586162726
44;0.963387980324323;0.19300500892835562;0.7333333442608515;0.7727917365729808
45;0.9639344283791839;0.1893174608589196;0.7355555653572082;0.771790711581707
46;0.9655737725437664;0.18914874026277026;0.740000010530154;0.7781260199844837
47;0.9617486361597405;0.18991794696718942;0.7355555653572082;0.7574983594318231
48;0.9655737725437664;0.1843791073798889;0.7311111221710841;0.7646205209195613
49;0.9655737725437664;0.1834386235225152;0.7577777872482936;0.7366414181888103
